Ensembl,HGNC,Entrez,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
ENSG00000116774,OLFML3,56944.00,944.00,810.00,778.00,139.00,19514.00,1133.00,885.00,954.00,104.00,93.00,1939.00,2136.00,1721.00,1430.00,3133.00,1459.00,1545.00,2196.00,1664.00,2076.00
ENSG00000117228,GBP1,2633.00,11598.00,14542.00,693.00,420.00,599.00,9748.00,2386.00,4197.00,1182.00,308.00,842.00,1131.00,1433.00,710.00,759.00,1367.00,567.00,1215.00,668.00,1000.00
ENSG00000135926,TMBIM1,64114.00,3590.00,3417.00,1256.00,1382.00,3626.00,2945.00,2084.00,2068.00,3881.00,3713.00,3888.00,11517.00,3436.00,14788.00,8866.00,4351.00,6114.00,5876.00,3718.00,15327.00
ENSG00000104408,EIF3E,3646.00,7584.00,6717.00,16939.00,12468.00,8140.00,6621.00,20316.00,16327.00,8878.00,12643.00,8330.00,6450.00,9555.00,7016.00,5833.00,6300.00,6464.00,7765.00,8509.00,6456.00
ENSG00000177119,ANO6,196527.00,1669.00,2051.00,1072.00,887.00,3392.00,1803.00,1031.00,1110.00,1770.00,1592.00,2172.00,9601.00,3764.00,16375.00,4493.00,4304.00,7289.00,4571.00,1452.00,11382.00
ENSG00000161011,SQSTM1,8878.00,8698.00,8089.00,6031.00,5576.00,18054.00,16720.00,1647.00,9527.00,8928.00,9392.00,6890.00,13229.00,5230.00,10389.00,14967.00,6112.00,7528.00,7773.00,10188.00,13370.00
ENSG00000159335,PTMS,5763.00,5251.00,8048.00,9888.00,13043.00,1166.00,4602.00,14092.00,12783.00,4021.00,815.00,3834.00,2921.00,2471.00,2597.00,4382.00,2619.00,2388.00,2957.00,6536.00,2037.00
ENSG00000198300,PEG3,5178.00,18140.00,14.00,1937.00,6.00,777.00,30.00,35.00,6112.00,12.00,95.00,873.00,241.00,1029.00,745.00,292.00,866.00,1703.00,1438.00,205.00,323.00
ENSG00000112096,SOD2,6648.00,10695.00,6810.00,2755.00,1317.00,3461.00,11083.00,5397.00,3131.00,19411.00,3340.00,4920.00,10135.00,3909.00,6517.00,6893.00,7139.00,9366.00,5523.00,3972.00,7732.00
ENSG00000111897,SERINC1,57515.00,4747.00,2962.00,2403.00,3361.00,6701.00,6189.00,2412.00,2606.00,3803.00,3223.00,6895.00,11468.00,8401.00,15467.00,9296.00,9492.00,11986.00,10805.00,4987.00,13804.00
ENSG00000147862,NFIB,4781.00,3381.00,3121.00,14060.00,20045.00,2659.00,4694.00,3153.00,5105.00,4773.00,6056.00,6105.00,5156.00,9470.00,4974.00,4952.00,7812.00,5581.00,6316.00,5394.00,5790.00
ENSG00000189143,CLDN4,1364.00,5878.00,5931.00,6182.00,13019.00,3437.00,2492.00,1690.00,6624.00,6208.00,15329.00,3218.00,65.00,8467.00,336.00,3145.00,4329.00,2454.00,3409.00,8881.00,192.00
ENSG00000119888,EPCAM,4072.00,5424.00,3991.00,11746.00,12325.00,6698.00,4726.00,13119.00,8851.00,8623.00,5926.00,3667.00,47.00,3653.00,104.00,2052.00,2564.00,1463.00,2079.00,4524.00,118.00
ENSG00000125534,PPDPF,79144.00,1839.00,10800.00,15714.00,3703.00,2716.00,2382.00,3296.00,4106.00,1769.00,12053.00,5113.00,1048.00,3034.00,993.00,5220.00,1874.00,2585.00,1650.00,6871.00,1154.00
ENSG00000111057,KRT18,3875.00,3389.00,8902.00,4607.00,3871.00,4671.00,1506.00,2752.00,8592.00,3616.00,10773.00,12340.00,135.00,8859.00,394.00,8109.00,5968.00,5843.00,6453.00,14293.00,246.00
