"","Entrez","GeneSymbol","EntrezGeneID","EnsemblGeneID","moduleColor","GS.er_status","p.GS.er_status","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.purple","p.MM.purple","MM.yellow","p.MM.yellow","MM.magenta","p.MM.magenta","MM.brown","p.MM.brown","MM.greenyellow","p.MM.greenyellow","MM.tan","p.MM.tan","MM.black","p.MM.black","MM.red","p.MM.red","MM.green","p.MM.green","MM.pink","p.MM.pink","MM.grey","p.MM.grey"
"4301","4301","MLLT4",4301,"ENSG00000130396","magenta",-0.320874692681629,0.209203601862896,-0.318051589300258,0.213465450640111,0.364276932112913,0.150576842884477,-0.315088412593355,0.217998681197217,-0.185613613932793,0.475693062418186,0.686710887657194,0.00232797283576521,-0.194709248838656,0.453935908722652,-0.125930186140911,0.630090655780022,0.509755678546423,0.0365888788381883,0.0801201684027966,0.759853453260701,0.239461638142506,0.354607402813416,-0.12476752203406,0.633278521784322,-0.208369269000063,0.422231136142661,0.151342546931757,0.562030711693368
"1315","1315","COPB1",1315,"ENSG00000129083","magenta",-0.306251738076664,0.231883127198111,-0.302887395929048,0.237313621772172,0.18098785638548,0.486950897335363,-0.138811877044005,0.595193351134474,-0.0204796049635762,0.937815836684854,0.834567194941175,3.09599961317895e-05,-0.32039257321073,0.20992748597528,0.0547901827003989,0.834561882077441,0.178548286900088,0.492939583713488,0.501531726417533,0.0402561884885569,0.43966825077326,0.0774051655058682,-0.199490385948033,0.442704651802788,-0.0458658503137312,0.861239743111674,0.418026951768196,0.0949654725644861
"5714","5714","PSMD8",5714,"ENSG00000099341","magenta",-0.306105413656952,0.232117656061321,-0.20452626255756,0.431030845296448,0.500925991152368,0.0405369253197486,-0.188645858920246,0.46838349030894,0.238900977380412,0.355769271643342,0.851927686792711,1.4215848649241e-05,-0.111614685997012,0.669756071273779,0.225204929608644,0.38481450167266,0.149218872430702,0.567594306200346,0.470914305097797,0.0563996366983333,0.154642543645189,0.553432589416786,-0.485962436373203,0.0479546418592115,0.019262714900985,0.941504668850985,0.442333426515604,0.075419198157058
"23787","23787","MTCH1",23787,"ENSG00000137409","magenta",-0.282553234712029,0.271836321045375,-0.254909490383501,0.323445247416013,0.577698128702626,0.0151553937526301,-0.180571892972788,0.487969512173406,0.0283342506245634,0.914037424634931,0.907883786826145,4.78615230818508e-07,-0.0563240630598996,0.82999292509553,0.172826583356039,0.507122568938166,0.178815062892378,0.492282982313217,0.242641377418889,0.348058671207238,-0.0372718471988875,0.887065263958702,-0.358405269277696,0.157763939530947,0.00350642508114616,0.989343716203655,0.276415776280668,0.282830176049904
"3312","3312","HSPA8",3312,"ENSG00000109971","magenta",-0.281913903419526,0.272969127191132,-0.233592096853871,0.366877175236499,0.239205786992665,0.355137341910833,-0.0452952072122603,0.862950728638107,-0.0636514373420851,0.808240267511906,0.735878515971117,0.00075881484248229,-0.404943849305247,0.106873568662411,0.0365547563733397,0.889225383208851,0.205563957236513,0.42864539775482,0.512242470712877,0.0355317493819369,0.595227169617444,0.0117105018547195,-0.216008037532945,0.405023543611186,0.0772560681996158,0.768213445392569,0.248826857864361,0.335518679156084
"10383","10383","TUBB2C",10383,"ENSG00000188229","magenta",-0.28124223207945,0.274162345231776,-0.434018344229359,0.0817408748035549,0.27585313367796,0.283851323831602,-0.305220778650316,0.233538760142186,0.21211688558224,0.413741568902121,0.691827674342498,0.0020922535300299,0.477407602988112,0.0526297229459555,0.49524612113095,0.0432421096730935,0.274511281430992,0.286295680189132,0.161065675574723,0.536864970049663,-0.154214232426436,0.554545282140848,-0.172914206068588,0.506903932366336,0.362723091126906,0.15245662644274,0.454805612472075,0.066617384039193
"57189","57189","KIAA1147",57189,"ENSG00000262599","magenta",-0.277005453120618,0.281762359884597,-0.193388892965125,0.45706266176813,-0.0370759204295541,0.887655387412242,-0.0833528003138476,0.750447907678971,-0.154971125506065,0.552579644584615,0.483015324897095,0.0495284547391324,-0.274323378160674,0.286638983368612,-0.0958902346384034,0.714293416190533,-0.169144320767941,0.51635049434855,0.247726805166868,0.337729551592773,0.460073978896886,0.0631364549759117,-0.0169920802905023,0.948390732908048,-0.144883551760066,0.579024617507214,0.0675115243654392,0.79683306415981
"5230","5230","PGK1",5230,"ENSG00000102144","magenta",-0.265806560158868,0.302460335974615,-0.19818385465445,0.445759565003696,0.323191369524645,0.205747797936204,-0.0765110954927174,0.77039194268121,-0.113431070159533,0.66467459883398,0.804688330647967,9.80558853240529e-05,-0.215921622953103,0.405216077611311,0.0422039295294092,0.872229282473739,0.696218171267198,0.00190591602949526,0.329981277534906,0.195834140940262,0.304803420519215,0.234211130023146,-0.381542278258675,0.13074742711686,-0.0118244473846484,0.964074561122113,0.381271796693926,0.131043305764319
"1317","1317","SLC31A1",1317,"ENSG00000136868","magenta",-0.25867021973104,0.31610928685652,-0.277271166595844,0.281281994416822,0.091827594885232,0.725950204922742,-0.10386451785276,0.691587990116655,-0.0673155414929756,0.797411310219134,0.794644470791992,0.00013842210621405,-0.278242144823681,0.27953086474509,-0.122155897223069,0.640461454631274,0.075104101258594,0.77451078501971,0.165058492366192,0.526680125878609,0.545068992305191,0.0236512067813478,-0.0531157394091138,0.839555247166222,0.0537065585372544,0.837792692192161,0.319054297230129,0.211945357152645
"23020","23020","SNRNP200",23020,"ENSG00000144028","magenta",-0.250364914461989,0.332441547379959,-0.352896631144613,0.164714996706006,0.269398682369277,0.295725177705921,-0.350325449905666,0.168029009455056,-0.0397850103505657,0.879500795029632,0.84824262286656,1.69027556473718e-05,-0.377471486153814,0.135249692014282,-0.0927449802616161,0.723312905917762,0.241125167273255,0.351172692431354,0.213777443119196,0.410009033793104,0.205206524206779,0.429466285324083,0.0148746347205461,0.954815349824666,0.0815153843010721,0.755789998824291,0.155025752292773,0.552437898411402
"7155","7155","TOP2B",7155,"ENSG00000077097","magenta",-0.23946357972827,0.354603382958629,-0.228114386861466,0.378538547243942,0.130628563969385,0.617271564975434,-0.155292917827434,0.551744884801067,-0.152784595129199,0.558266357452824,0.81845158623107,5.91566006756607e-05,-0.329282292481839,0.196839941641715,-0.263433701098414,0.306959080831575,0.335973194208789,0.187350464349953,-0.023788121997521,0.927792777638918,0.321699517444301,0.207968917488004,-0.0297515575895418,0.909753575868175,-0.0388634280639182,0.882273591473091,0.225108896314781,0.385022619944809
"81567","81567","TXNDC5",81567,"ENSG00000239264","magenta",-0.230939263081483,0.372499444910973,-0.279073397243787,0.278037012610264,0.28164903716422,0.273439279180824,-0.132092062849206,0.61329956977878,0.31103126260455,0.224305305428966,0.668974613270908,0.0033189907391576,0.259155427638029,0.315169990034928,0.0616966660710772,0.814031053591388,-0.06417439130998,0.806692658118181,-0.145561353733872,0.577231186114898,-0.0650893388720719,0.803986631879001,-0.229106205754352,0.376412088370113,-0.0459338620040839,0.861035859287567,0.316523486883518,0.215795553406751
"1499","1499","CTNNB1",1499,"ENSG00000168036","magenta",-0.223363503185219,0.388815869861381,-0.300767500826541,0.240776382956049,0.192852841573083,0.458335177576797,-0.215391315376972,0.406398689611061,-0.0576367919333815,0.826086790831741,0.903014557822355,6.94159850217027e-07,-0.20159980498766,0.437795166369406,0.0658901590875234,0.801619870837949,0.0738302636556098,0.778244737993843,0.235878440985466,0.362069888766736,0.0972814276288317,0.710315261358062,4.82025066976602e-05,0.999853505134101,0.147626359764149,0.571781791355351,0.288096351672979,0.262135755961704
"3998","3998","LMAN1",3998,"ENSG00000074695","magenta",-0.223035466945968,0.389531055458091,-0.180949568530981,0.487044613943552,0.261981165393804,0.309732441502605,-0.141775950014222,0.587277014002348,-0.192972587008117,0.458050763313118,0.464081523703745,0.0605800741390874,0.19193473527785,0.460518769306334,0.167200161071115,0.521253879293566,0.0312624265519076,0.905189523620891,0.157449356871301,0.54616525312385,-0.0160528695885931,0.951240076812348,-0.254004892362982,0.325224522791119,-0.379857169229632,0.132598334935803,0.362437553350306,0.152803791204081
"827","827","CAPN6",827,"ENSG00000077274","magenta",-0.217937638615882,0.400737120589325,-0.397585125097038,0.114018211913607,0.130943862726419,0.616414978439404,-0.26463547214587,0.304675687059623,-0.0433189835040647,0.868880539283301,0.75504023201458,0.00045855599552352,-0.156839983619989,0.547739419508662,0.172268687448508,0.508515673250179,-0.0264462002751,0.919747566634923,0.385310648674962,0.126673379355782,0.279871962562319,0.276606496448153,0.0414462676557177,0.874505876155891,0.205022124334138,0.42989010134714,0.156325904990962,0.54906897615379
"10487","10487","CAP1",10487,"ENSG00000131236","magenta",-0.203205585225307,0.434076758042176,-0.050733496733883,0.84666928484006,0.533346630262812,0.0274719090770463,0.0739593431682828,0.777866161626823,0.109986011861639,0.674323963296777,0.709897603237988,0.00141043533728156,-0.407135438817654,0.104808563017144,-0.222192479605478,0.39137222301617,0.297426834623626,0.246297570884964,0.117143973396616,0.654330513658417,0.224521312498882,0.386297342008386,-0.477264284609358,0.0527108409072047,-0.209890881267056,0.418773223255033,0.175702846367835,0.49996896953139
"6124","6124","RPL4",6124,"ENSG00000174444","magenta",-0.187809138762197,0.470394913656853,-0.40411037147561,0.107666427447684,0.496164218678199,0.0427958469522796,-0.360933507699511,0.154641340630727,0.064276757755694,0.806389798050264,0.601079070896534,0.0107104384948014,0.186793035896712,0.472843293783204,0.611570378246903,0.00908818816414742,0.0326790024469168,0.900912857836374,0.447532795408133,0.0716524036055826,-0.429751266333567,0.085130334896382,-0.00359782274857889,0.989065967350264,0.429390792917424,0.0854212549188144,0.0772199432185368,0.768319046699078
"87","87","ACTN1",87,"ENSG00000072110","magenta",-0.183811805204125,0.480062898680209,-0.273575882882968,0.288007136701798,0.199217884964235,0.443340922919485,-0.333535717819862,0.190771720649667,-0.172234339936278,0.508601500036873,0.613240354902904,0.00884912811776277,-0.16551640915407,0.525517755875918,-0.135425785887858,0.60428973413317,0.293705150356741,0.252541263972022,-0.163543294301761,0.530534646737502,0.229748556930289,0.37503841898623,0.232096511837297,0.37004098263753,0.308964373446564,0.227562598947442,0.0524814969639625,0.841448146784595
"7458","7458","EIF4H",7458,"ENSG00000106682","magenta",0.13673541169022,0.600764929193903,0.187620308418047,0.470849440202417,-0.0874910571904733,0.738455885053738,0.0779356897707948,0.766227481478637,-0.210755038328349,0.416816067155358,0.694882159755899,0.00196111640899871,-0.396154594567887,0.115445251033584,-0.073646946000996,0.77878247004612,-0.111578034465722,0.669858747122388,0.145813821997821,0.576563767104397,-0.176080616240285,0.499032991763689,0.0162739929827484,0.950569189061485,0.213611640609207,0.410380909972535,0.364647448933516,0.150130950989833
"3939","3939","LDHA",3939,"ENSG00000134333","magenta",-0.124966723635642,0.632731902998555,0.0198157887544238,0.939827959082701,0.361133505378139,0.15439613377552,0.0137781556796574,0.958143273713862,-0.148768586884833,0.568776989527278,0.801104511762452,0.00011113518031941,-0.213882991635227,0.40977239398156,0.162153224307022,0.534082095497867,0.245526514692569,0.342176742052193,0.428996321548616,0.085740436477902,-0.0214931096098792,0.934744448392253,-0.443099904592282,0.0748550099719401,-0.0735837005173803,0.778968012252707,0.437813288922073,0.078809720327817
"1509","1509","CTSD",1509,"ENSG00000117984","magenta",-0.123894258130826,0.635676914312814,-0.0755233534035313,0.773282863982661,-0.0628841443268526,0.810512180116103,0.435517558041855,0.0805736022488828,-0.10267026671879,0.694973175736918,0.546002144480386,0.0233657967752291,0.0487144815480063,0.852707425223049,0.0555461558646015,0.832309436452526,0.28483358584359,0.267819373709465,0.0163820463231368,0.950241366924896,0.216447346081426,0.404045510332234,-0.172425113119382,0.508124886382907,0.188455880059279,0.468839812967357,0.357374192753332,0.159049598059426
"498","498","ATP5A1",498,"ENSG00000152234","magenta",0.122319619876677,0.640010260887615,0.109037109437448,0.676990299544261,0.00513698945597489,0.984388787809019,-0.0279110875474883,0.915316885555206,-0.309488103757462,0.226734391806029,0.581596682321919,0.0143278114967904,-0.387474043839208,0.124374904149195,0.0597495795165011,0.819808142081526,-0.154322509590994,0.55426390063552,0.344615063651205,0.175548691373824,0.214390941239664,0.408634588803882,0.0135258958525234,0.958909001989503,0.352378645996595,0.16537905784714,0.320659586367627,0.209526375516406
"5211","5211","PFKL",5211,"ENSG00000141959","magenta",-0.122236451196075,0.640239445727649,-0.273402749481176,0.288324587312399,0.178859018994368,0.492174835863854,-0.186200076118542,0.474274974489663,0.131523890483037,0.614840412636728,0.798374852423475,0.000122054137271779,-0.0759216730484755,0.772116721583145,0.259380054039677,0.314735700594851,0.350547680428889,0.167740819441181,0.341364305100688,0.179928250916555,-0.063150204031319,0.809724228958678,-0.128930218714423,0.62189354204098,0.441715371838275,0.0758763923223678,0.421033017483422,0.0923697212412546
"1642","1642","DDB1",1642,"ENSG00000167986","magenta",0.114931269578619,0.66048805142851,0.0962477127048527,0.71327052883309,-0.158116766124885,0.544443473793512,-0.0417286445692354,0.873657290965521,0.174439523352634,0.503105078666198,0.587555871028138,0.0131320940164106,-0.355251165675392,0.161719129808822,-0.114435087498311,0.661871681113387,-0.191470551816169,0.461624746860818,0.201786895607091,0.437361089221703,0.0495963084991395,0.850069230517486,-0.0809336895001292,0.757483409209917,0.171422951902267,0.510630954549806,0.475842813591742,0.0535204617199317
"5834","5834","PYGB",5834,"ENSG00000100994","magenta",0.0965294495410839,0.71246469259866,-0.200135830803469,0.441199450452077,-0.188674050107553,0.468315794826928,-0.119602300081822,0.647514096172488,-0.00258547887916842,0.992142443954966,0.555016073781793,0.0207443588250056,-0.364567681279277,0.150226869715017,-0.0168074423952362,0.948950835098452,0.258731363552956,0.315990830154973,0.233534263787453,0.366999235535753,0.109539771393019,0.675577407463052,0.277796396619861,0.280333932030056,0.503342967303839,0.0394255371978184,0.197462846491937,0.447450009966405
"226","226","ALDOA",226,"ENSG00000149925","magenta",-0.0911189219205585,0.727989494197522,-0.189590973730564,0.466116635274546,0.179512046733492,0.490569518928049,-0.197505843327818,0.447349109980726,-0.0625228773914369,0.811582368309241,0.755477041107215,0.000453087585330475,0.135797290156874,0.603289000514215,0.392705577672901,0.118937443997772,0.114984012295304,0.660341036633857,0.284714001684756,0.268029114069943,-0.173790544181789,0.504719734018267,-0.066849638556761,0.798786352937781,0.422168719611459,0.0914024411239273,0.591872662422271,0.0123162968171077
"10992","10992","SF3B2",10992,"ENSG00000087365","magenta",-0.0897653740324887,0.731889275330472,-0.0551883635422543,0.83337533713909,-0.100184312244752,0.702037221879975,-0.0443209977979476,0.865873073316595,0.170681324556338,0.512489233189725,0.539670301531843,0.0253559047735387,-0.375177284325541,0.137833753092904,0.00251280430415594,0.992363303889409,-0.0176669846305074,0.946343595412734,0.443821220223022,0.0743268882584655,0.330050520128734,0.19573468865819,-0.103460413658696,0.692732836377744,0.174439470327228,0.503105210493054,0.477524439974118,0.0525636625175795
"8826","8826","IQGAP1",8826,"ENSG00000140575","magenta",-0.0800561913867419,0.760039924537337,-0.0381352426875138,0.884465424109833,0.173889275332555,0.504473933939682,0.0347450614563648,0.89468003988328,-0.220875509797258,0.394258063227278,0.783714126132285,0.000197353959433021,-0.471647431815701,0.0559642088873086,-0.326519390965823,0.200848722602385,0.0873326886029474,0.738913783923958,0.0549325695640368,0.834137542473473,0.378915348193909,0.133640697277714,-0.174243358885813,0.503592876425227,-0.216265802401605,0.404449527687987,0.179588044262421,0.490382860635514
"2821","2821","GPI",2821,"ENSG00000105220","magenta",-0.0687106915992174,0.793297115936223,0.0665383162926397,0.799705485951504,0.379761567592084,0.132703884393858,-0.000749255213807478,0.997722900391771,-0.0986247062192477,0.706480817257561,0.824276597719369,4.71627046825956e-05,-0.160308900695012,0.538805288799714,-0.0162647716343728,0.950597165981986,0.0912207680751341,0.72769631343971,0.129435698810851,0.620516491697892,0.0898772150992149,0.73156680718384,-0.466518709515456,0.0590634308773507,-0.0859356513990776,0.742956684826175,0.374043706558613,0.139123044144985
"6648","6648","SOD2",6648,"ENSG00000112096","magenta",-0.0673250787340104,0.797383168349387,0.0885757465428194,0.735321910641965,0.0745026253105876,0.776273292106305,0.244424919715079,0.344415805196033,-0.355513643355632,0.161387456007724,0.716855523422058,0.00120244521619081,-0.356621968528187,0.159992019067565,-0.383128272526709,0.129021846543296,0.301913303704564,0.238900826013353,-0.116673136629461,0.655639016061974,0.413743379500263,0.0987541393204334,-0.258105500719511,0.317204576425554,-0.219492077356257,0.397301920884863,0.408563992202216,0.103477883403142
"3918","3918","LAMC2",3918,"ENSG00000058085","magenta",-0.0456489219453585,0.861890101104706,-0.321852552725009,0.207740359775331,-0.0967305273189244,0.711889736784431,-0.270832503346835,0.293062121634223,-0.0234911384825923,0.928692082890295,0.597635455534214,0.0112903448367967,-0.268273155960127,0.297825763666844,-0.0925211303727272,0.723956159233643,-0.0804663428106704,0.758844689553869,-0.0113515544905633,0.965510501564622,0.0158982792659642,0.951709121830769,0.468587384220413,0.0577983925945005,0.391681145681482,0.119988821529356,0.120504626512666,0.645018731305526
"5250","5250","SLC25A3",5250,"ENSG00000075415","magenta",-0.0425048758469188,0.871325272472211,0.0117911676312429,0.964175611809506,0.33370087475601,0.190538614051995,-0.0818341162460365,0.754862562144518,-0.0237071970067009,0.92803782103632,0.718031303516754,0.00116993594715742,-0.155480055610721,0.55125968706192,0.240611159479157,0.352231948533968,-0.269612372708422,0.295327370527033,0.387306128395829,0.124552253817326,-0.163348285985486,0.531031659429675,-0.25899558321671,0.315479245579738,0.119916291104398,0.646645356209944,0.334504150597696,0.189407528869612
"1213","1213","CLTC",1213,"ENSG00000141367","magenta",0.0262240281132321,0.920419744078164,0.0656312253943949,0.802384951558042,0.304567729382607,0.234591373862361,0.129480684200385,0.620393998232393,0.0481186596940618,0.854490805614694,0.489871721678792,0.0459253931425646,-0.361942456303276,0.153407019532942,-0.390888120201336,0.120807167122531,-0.119923973951243,0.646624104965977,-0.11869402625375,0.65002949784982,0.435027799076357,0.0809535826519466,-0.352975096964951,0.164614559920363,-0.246343897832963,0.340520761600335,0.211736097049086,0.41460002121861
"1938","1938","EEF2",1938,"ENSG00000167658","pink",0.581859985593165,0.0142732298838263,0.203300105867518,0.433858393225257,-0.531817584498349,0.0280034232985491,0.079482267658897,0.761713275078985,-0.281743897389073,0.273270840176566,-0.0695399498166373,0.790854127988437,-0.202033347569241,0.436789624104096,0.175859483217043,0.499580778554152,-0.305135718152438,0.233675694275959,0.112211227809101,0.668085693467254,-0.467356160322409,0.058548858972425,0.62760149616466,0.00699366950118958,0.823419028978508,4.87872500009758e-05,0.0620653192528548,0.812938254500539
"347","347","APOD",347,"ENSG00000189058","pink",0.51491780010875,0.0344206690449317,0.284369915093837,0.268633176113063,-0.342812954201116,0.17796768219595,0.258729337302294,0.315994755284122,-0.228319917041159,0.378097347547404,-0.231131488659807,0.372090453896196,-0.179842578610601,0.489757945551625,-0.0809735638545023,0.757367294932839,-0.200812348576458,0.439624609858656,-0.154823495988007,0.552962795202921,-0.222048424466826,0.39168732628561,0.34681401692448,0.172626889173718,0.589498764527795,0.0127597963119732,-0.0853397439413203,0.74468312887218
"9172","9172","MYOM2",9172,"ENSG00000036448","pink",0.47052618216457,0.0566311745425535,0.171099272336963,0.511441602752422,-0.413972922372253,0.0985484213088796,0.190733565927666,0.46338343754386,-0.190747624002378,0.463349859098913,-0.228345363591313,0.378042742662551,-0.150589582532711,0.564000621383974,-0.00609726662308241,0.98147095704813,-0.156840799470661,0.547737310615877,-0.115368854628545,0.65926868477271,-0.200242668802757,0.440950553928626,0.4743805153564,0.0543629948659132,0.751436036486803,0.000505808969503784,-0.117364423768529,0.653718186709896
"1556","1556","CYP2B7P1",1556,"ENSG00000256612","pink",0.428648639975453,0.0860224730855225,0.119994450010327,0.646429175747268,-0.443615212505816,0.0744774409693507,0.112267576503311,0.667927987342323,-0.191529901505836,0.461483264453199,-0.243131080143192,0.347056281321738,-0.144572098782712,0.579849492311475,0.0395518374327908,0.880202226564512,-0.186758245295323,0.472927235575101,-0.106601807318283,0.68384985048894,-0.246260487146292,0.340689536729984,0.681898655036974,0.00256905491089436,0.824659541506874,4.64521609828498e-05,0.00586580420321328,0.982174243510193
"5764","5764","PTN",5764,"ENSG00000105894","pink",0.423653567404763,0.0901488132217655,-0.0428551710152855,0.870273213616539,-0.366617666733025,0.147775068543899,-0.070506119540164,0.788010121589935,-0.12228558805507,0.640104037394569,-0.17071417750703,0.512406847507664,-0.0954646795061137,0.715511699009103,0.0896628281110165,0.732184980339806,-0.157255131121051,0.546666769544508,-0.0671049566534747,0.79803275031331,-0.253354530413303,0.326507251687121,0.67446138281503,0.00298144013739553,0.839545479973099,2.49985173791358e-05,0.212206090245828,0.413540601639605
"441282","441282","AKR1B15",441282,"ENSG00000227471","pink",0.416001789037923,0.0967434364025268,0.0094993518451555,0.971135645474943,-0.239230882471791,0.355085342381034,0.0622342456641695,0.81243761461734,-0.0538551540499937,0.837349510613413,-0.0890869961298206,0.733846130398427,-0.0381049166578218,0.884556722530433,0.121902567093047,0.641159827080485,-0.0696148167339153,0.790633660890367,-0.0204905454914506,0.937782677319606,-0.103180301917605,0.69352677549301,0.326037804850679,0.201552888426871,0.81389782218853,7.02378346048525e-05,0.0372846297821767,0.887026765284376
"51386","51386","EIF3L",51386,"ENSG00000100129","pink",0.391002729103553,0.120688657915679,0.0793141918909571,0.762203511617952,-0.165286032491515,0.526102394019132,-0.0704405784750747,0.788202967913117,-0.206528725685361,0.426433779162895,0.170276034483867,0.513506091900499,-0.352305010500915,0.165473605368428,0.0528289416002014,0.84041109423434,-0.387396077012765,0.124457229549016,0.0361298831817896,0.89050559316965,-0.565430959190495,0.0180073291099112,0.592475835479106,0.0122055785118449,0.646942340108383,0.0050018204785621,-0.152950278027792,0.557834559749488
